ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Litoria raniformis,Growling Grass Frog,ALA,13207,urn:lsid:biodiversity.org.au:afd.taxon:a0b0cf8c-3a93-40d9-ad8e-37b77783bea9,Litoria raniformis,Growling Grass Frog,Base,25,Herps,Anurans,Tree frogs,11175,0.1,3,7554,67.6%,4061,36.3%,2509,61.78%,5,22,24,0,1,EN,"> 10,000",Most in Vic,Both,rapid,Modest,Both,,5,4,4,8.0,109377,Habitat,Species,No guild,,,Land,Sexual,Annual,brief,,r,Yes,Yes,No,Other,No,Yes,Useful,7,High,Data def,Varies,Data def,Sample bias,Reasonable,Unknown,Medium,Uncertain,Multiple,Uncertain,Yes,Not Expected,Medium,**,,,Southern Bell Frog,,,,,,,,,,,,,,EN,VU,Listed,,,,
Litoria spenceri,Spotted Tree Frog,Vic,13195,urn:lsid:biodiversity.org.au:afd.taxon:6557c054-d536-47fc-b03f-ba2a751701b5,Litoria spenceri,Spotted Tree Frog,Base,26,Herps,Anurans,Tree frogs,475,0.1,3,394,82.9%,31,6.5%,18,58.07%,3,3,6,0,1,CR,2K to 10K,Most in Vic,Both,rapid,Very Low,Both,,5,1,1,2.0,5597,Habitat,Species,No guild,,,Water,Sexual,2 - 5 yr,short,,r,No,Yes,No,None,No,Yes,Limited,1,High,Data def,Data def,Data def,,Limited,Possible,Uncertain,Medium,Pathogens,Uncertain,Uncertain,Low,Secondary,,,,,,,,,,,,,,,,,,CR,EN,Listed,,,,
Litoria verreauxii alpina,Alpine Tree Frog,ALA,63907,urn:lsid:biodiversity.org.au:afd.taxon:2f901548-a9df-4f55-8c60-158967314703,Litoria verreauxii alpina,Alpine Tree Frog,Child,27,Herps,Anurans,Tree frogs,3752,0.1,3,2415,64.4%,767,20.4%,399,52.02%,3,10,16,0,1,CR,2K to 10K,,,,Very Low,,,5,1,1,2.0,35147,Habitat,Generic,No guild,,,,,2 - 5 yr,short,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,Verreauxii's Alpine Tree Frog,,,,,,,,,,,,,CR,VU,Listed,,,,
Litoria verreauxii verreauxii,Verreaux's Tree Frog,ALA,63906,urn:lsid:biodiversity.org.au:afd.taxon:e194765d-3b23-4fda-a1c7-860b6445fa70,Litoria verreauxii verreauxii,Verreaux's Tree Frog,Child,28,Herps,Anurans,Tree frogs,4811,0.1,3,2742,57.0%,1795,37.3%,1224,68.19%,4,15,21,0,1,CR,"> 10,000",Vic + 1 state,Both,down,Very Low,Both,,5,1,1,2.0,40457,Habitat,Limited,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,Yes,No,None,No,Yes,Markers,1,,,,,,,Possible,Uncertain,Not likely,Multiple,Uncertain,Uncertain,Low,Secondary,,Litoria verreauxii,"alpina, verrauxii",,,,,,,,,,,,,,,,,,,,,
Mixophyes balbus,Southern Barred Frog,ALA,13073,urn:lsid:biodiversity.org.au:afd.taxon:7e478d81-8ec8-49ae-a51f-b838bbe05c77,Mixophyes balbus,Southern Barred Frog,Base,29,Herps,Anurans,Ground frogs,2223,0.1,3,30,1.4%,188,8.5%,6,3.19%,2,8,8,0,1,CR,2K to 10K,Minor in Vic,Both,rapid,Very Low,Both,,5,1,1,2.0,2613,Habitat,HIM_Species,No guild,,,Water,Sexual,2 - 5 yr,short,,r,Yes,Yes,No,Other,No,Yes,Limited,1,Moderate,Data def,Data def,Data def,Few samples,Limited,Unknown,Uncertain,Uncertain,Multiple,No,Uncertain,Low,Low,,,,Stuttering Frog,,,,,,,,,,,,,,CR,VU,Listed,,,,
Neobatrachus pictus,Mallee Spadefoot Toad,ALA,13085,urn:lsid:biodiversity.org.au:afd.taxon:39eeb892-0cc1-43cd-b34f-5bf853301901,Neobatrachus pictus,Mallee Spadefoot Toad,Base,30,Herps,Anurans,Foam nesters,2827,0.1,3,939,33.2%,966,34.2%,296,30.64%,3,19,20,0,1,OKAY,"> 10,000",Vic + 1 state,Recent,down,Very Low,Both,,5,1,1,2.0,15034,Habitat,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Primary,*,,,"Painted Frog, Painted Burrowing Frog",,,,,,,,,,,,,,,,,,,,
Neobatrachus sudellae,Common Spadefoot Toad,ALA,13086,urn:lsid:biodiversity.org.au:afd.taxon:953a5af4-2932-4c8b-8f33-850b5f8f3fed,Neobatrachus sudellae,Common Spadefoot Toad,Base,31,Herps,Anurans,Ground frogs,6102,0.1,3,1421,23.3%,2625,43.0%,747,28.46%,7,36,32,0,1,OKAY,"> 10,000",Widespread,Both,okay,Medium,Both,,5,10,10,20.0,24575,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,"Heleioporus sudelli, Heleioporus centralis, Neobatrachus centralis, Neobatrachus sudelli",,,,,,,,,,,,,,,,,,,,,,
Paracrinia haswelli,Haswell's Froglet,ALA,13103,urn:lsid:biodiversity.org.au:afd.taxon:cd205d51-f3bb-44ec-9ba4-30e835bfb487,Paracrinia haswelli,Haswell's Froglet,Base,32,Herps,Anurans,Ground frogs,1877,0.1,3,847,45.1%,1148,61.2%,463,40.33%,3,9,12,0,1,OKAY,"> 10,000",Vic + 1 state,Recent,okay,Very Low,Both,,5,1,1,2.0,12888,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Primary,*,,,,,,,,,,,,,,,,,,,,,,,
Philoria frosti,Baw Baw Frog,Vic,13106,urn:lsid:biodiversity.org.au:afd.taxon:c0bc8e92-27b5-44a4-af1a-f7605aee5e5d,Philoria frosti,Baw Baw Frog,Base,33,Herps,Anurans,Foam nesters,2817,0.1,3,2605,92.5%,3,0.1%,3,100.00%,1,2,1,0,1,CR,50 to 499,Only in Vic,Recent,rapid,Very Low,Both,,5,1,1,2.0,36682,Habitat,Species,No guild,,,Land,Sexual,6 - 10 yr,mid,,r,No,Yes,No,None,No,Yes,Markers,1,,,,,,,Unknown,Redundant,Medium,Pathogens,No,No,Not Expected,Secondary,,,,,,,,,,,,,,,,,,CR,EN,Listed,,,,
Pseudophryne bibronii,Brown Toadlet,ALA,13117,urn:lsid:biodiversity.org.au:afd.taxon:b4cb12e8-59bd-4bba-a71e-a7c1890bf709,Pseudophryne bibronii,Brown Toadlet,Base,34,Herps,Anurans,Ground frogs,9152,0.1,3,3758,41.1%,3123,34.1%,1030,32.98%,6,22,34,0,1,EN,"> 10,000",Widespread,Both,rapid,Very Low,Both,,5,1,1,2.0,58006,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,Yes,No,None,No,Yes,Markers,3,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Low,Primary,,,,,,,,,,,,,,,,,,EN,,Listed,,,,
