ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Dillwynia cinerascens,Grey Parrot-pea,ALA,505931,https://id.biodiversity.org.au/node/apni/2920072,Dillwynia cinerascens s.s.,Grey Parrot-pea,Base,1624,Fabs,Plants,Legume,3533,0.1,3,3061,86.6%,2754,78.0%,2518,91.43%,6,26,26,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,43326,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,Dillwynia cinerascens s.s.,,,,Data,No,Mat5-20,Long>500,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia glaberrima,Smooth Parrot-pea,ALA,501051,https://id.biodiversity.org.au/node/apni/2901916,Dillwynia glaberrima,Smooth Parrot-pea,Base,1625,Fabs,Plants,Legume,7264,0.1,3,4995,68.8%,5556,76.5%,3967,71.40%,7,24,28,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,72199,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dillwynia glaberrima, Dillwynia ericifolia f. glaberrima, Dillwynia ericifolia var. glaberrima",,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,WL < 1,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia hispida,Red Parrot-pea,ALA,501052,https://id.biodiversity.org.au/node/apni/2902947,Dillwynia hispida,Red Parrot-pea,Base,1626,Fabs,Plants,Legume,3690,0.1,3,1077,29.2%,3011,81.6%,866,28.76%,3,13,16,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,17691,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dillwynia hispida, Dillwynia hispida var. glabripes",,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia juniperina,Prickly Parrot-pea,ALA,501053,https://id.biodiversity.org.au/node/apni/2903364,Dillwynia juniperina,Prickly Parrot-pea,Base,1627,Fabs,Plants,Legume,306,0.1,3,214,69.9%,219,71.6%,168,76.71%,3,12,17,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,3088,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia oreodoxa,Grampians Parrot-pea,ALA,501054,https://id.biodiversity.org.au/node/apni/2891538,Dillwynia oreodoxa,Grampians Parrot-pea,Base,1628,Fabs,Plants,Legume,166,0.1,3,150,90.4%,93,56.0%,93,100.00%,1,2,2,0,1,r,,,,,,,Fire_NK,5,6.3,1.58,6.3,2116,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,endemic,Rare,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia phylicoides,Small-leaf Parrot-pea,ALA,501057,https://id.biodiversity.org.au/node/apni/2915202,Dillwynia phylicoides,Small-leaf Parrot-pea,Base,1629,Fabs,Plants,Legume,3696,0.1,3,1188,32.1%,2639,71.4%,924,35.01%,4,15,25,0,1,ncs,,,,,,,Fire_K,3,6.3,1.58,6.3,19140,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dillwynia phylicoides, Dillwynia retorta var. phylicoides, Pultenaea retorta, Dillwyina ericifolia var. parvifolia, Dillwynia parvifolia, Dillwynia ericifolia var. phylicoides",,,,Data,No,Mat5-20,Long10-50,Fire_K,Seed>2,Poll_Apis,not,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia prostrata,Matted Parrot-pea,ALA,501055,https://id.biodiversity.org.au/node/apni/2906430,Dillwynia prostrata,Matted Parrot-pea,Base,1630,Fabs,Plants,Legume,262,0.1,3,49,18.7%,185,70.6%,26,14.05%,3,4,5,0,1,v,,,,,,,Fire_NK,5,6.3,1.58,6.3,899,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat5-20,Long50-500,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,VU,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia ramosissima,Bushy Parrot-pea,ALA,501056,https://id.biodiversity.org.au/node/apni/8508305,Dillwynia ramosissima,Bushy Parrot-pea,Base,1631,Fabs,Plants,Legume,850,0.1,3,333,39.2%,592,69.6%,289,48.82%,3,7,10,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,5179,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia sericea,Showy Parrot-pea,ALA,501058,https://id.biodiversity.org.au/node/apni/2907450,Dillwynia sericea,Showy Parrot-pea,Base,1632,Fabs,Plants,Legume,8891,0.1,3,4284,48.2%,6694,75.3%,3254,48.61%,6,26,32,2,3,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,64583,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dillwynia sericea, Dillwynia floribunda",,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,WL < 1,Yes,insect,,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia sieberi,Sieber's Parrot-pea,ALA,504605,https://id.biodiversity.org.au/node/apni/2902322,Dillwynia sieberi,Sieber's Parrot-pea,Base,1633,Fabs,Plants,Legume,2110,0.1,3,22,1.0%,1510,71.6%,12,0.80%,5,15,18,0,1,r,,,,,,,Fire_NK,5,6.3,1.58,6.3,2396,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,Rare,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Dillwynia uncinata,Silky Parrot-pea,ALA,501059,https://id.biodiversity.org.au/node/apni/2913982,Dillwynia uncinata,Silky Parrot-pea,Base,1634,Fabs,Plants,Legume,778,0.1,3,85,10.9%,555,71.3%,65,11.71%,3,15,13,0,1,r,,,,,,,Fire_NK,5,6.3,1.58,6.3,1883,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dillwynia patula, Eutaxia patula, Eutaxia uncinata, Dillwynia uncinata, Eutaxia sparsifolia",,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,Rare,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Diplachne fusca,Brown Beetle-grass,ALA,501060,https://id.biodiversity.org.au/node/apni/7924177,Diplachne fusca subsp. fusca,Brown Beetle-grass,Base,1635,Grass,Plants,Grasses,3295,0.1,3,63,1.9%,2119,64.3%,28,1.32%,7,60,42,3,4,ncs,"> 10,000",Minor in Vic,Recent,unsure,Medium,,Fire_K,3,10,6.3,10.0,4114,Distance,Limited,No guild,,,Airborne,Sexual,Perennial,mid,,r,Yes,No,No,Other,No,Yes,Biology,1,,,,,,,Possible,Redundant,Low,Not expected,Yes,Uncertain,Low,Medium,,"Leptochloa muelleri, Festuca reptatrix, Diplachne reptatrix, Diplachne parviflora, Uralepis drummondii, Diplachne fusca ssp. fusca, Triodia parviflora, Diplachne muelleri, Leptochloa fusca ssp. fusca, Leptochloa fusca, Uralepis fusca, Leptochloa fusca subsp. fusca, Festuca fusca, Triodia ambigua",fusca,,"Brown Beetle Grass, Small-flowered Beetle-grass, Brown Beetle-grass, Small-flowered Beetle Grass",Data,Yes,Mat<1,Long1-10,Fire_K,Seed>2,Poll_abiotic,WL > 6,No,Mam_ext,biology,present,Rare,,,Magnoliopsida,Lilianae,Poales,Poaceae
Diplarrena moraea,White Iris,ALA,501063,https://id.biodiversity.org.au/node/apni/2908176,Diplarrena moraea,White Iris,Base,1636,OFam2,Plants,Other family,2661,0.1,3,594,22.3%,2283,85.8%,484,21.20%,3,15,10,0,1,ncs,,,,,,,Fire_NK,5,6.3,0.4,6.3,10383,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Moraea diandra, Diplarrena moraea",,,"Butterfly Flag, White Iris, White Flag Iris",Data,No,Mat1-5,Long>500,Fire_NK,Seed>2,Poll_Apis,WL 1-6,No,Passive,,present,,,,Magnoliopsida,Lilianae,Asparagales,Iridaceae
Diplaspis nivis,Stiff Diplaspis,ALA,501064,https://id.biodiversity.org.au/node/apni/2895531,Diplaspis nivis,Snow Pennywort,Base,1637,OFam1,Plants,Other family,358,0.1,3,170,47.5%,221,61.7%,114,51.58%,2,3,6,0,1,r,,,,,,,Fire_NK,5,6.3,6.3,6.3,2568,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Diplaspis hydrocotyle, Diplaspis nivis",,,"Snow Pennywort, Stiff Diplaspis",Data,No,Mat1-5,Long>500,Fire_NK,Seed<2,Poll_Apis,WL > 6,No,Wind,,present,Rare,,,Magnoliopsida,Asteranae,Apiales,Apiaceae
Diplazium australe,Austral Lady-fern,ALA,500312,https://id.biodiversity.org.au/node/apni/2897773,Diplazium australe,Austral Lady-fern,Base,1638,Fern,Plants,True ferns,2148,0.1,3,720,33.5%,1372,63.9%,562,40.96%,5,23,24,0,1,ncs,,,,,,,Fire_K,3,10,6.3,10.0,11508,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Allantodia australis, Athyrium umbrosum, Athyrium australe, Asplenium australe, Diplazium australe",,,"Shade Spleenwort, Austral Lady-fern",Data,No,Mat1-5,Long10-50,Fire_K,Seed<2,Poll_abiotic,WL 1-6,No,Wind,,present,,,,Polypodiopsida,,Polypodiales,Athyriaceae
Dipodium campanulatum,Bell-flower Hyacinth-orchid,ALA,504500,https://id.biodiversity.org.au/name/apni/117414,Dipodium campanulatum,Bell-flower Hyacinth-orchid,Base,1639,Orchid,Plants,Orchids,297,0.1,3,21,7.1%,10,3.4%,10,100.00%,1,3,3,0,1,e,,,,,,,Fire_NK,5,4,6.3,6.3,570,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Bell-flower Hyacinth-orchid, Bell-flower Hyacinth Orchid",Data,No,Mat5-20,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,EN,EN,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Dipodium interaneum,Yellow Hyacinth-orchid,ALA,501067,https://id.biodiversity.org.au/name/apni/51284779,Dipodium interaneum,Yellow Hyacinth-orchid,Base,1640,Orchid,Plants,Orchids,47,0.1,3,23,48.9%,29,61.7%,18,62.07%,3,6,7,0,1,e,,,,,,,Fire_NK,5,4,6.3,6.3,346,Distance,Species,No guild,,,,,,,,,,,,,,No,,1,,,,,,,,,,,,,,,,"Dipodium punctatum var. hamiltonianum, Dipodium hamiltonianum, Dipodium interaneum",,,"Yellow Hyacinth-orchid, Yellow Hyacinth Orchid",Data,No,Mat5-20,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,none,present,EN,,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Dipodium pardalinum,Spotted Hyacinth-orchid,ALA,500324,https://id.biodiversity.org.au/name/apni/166521,Dipodium pardalinum,Spotted Hyacinth-orchid,Base,1641,Orchid,Plants,Orchids,482,0.1,3,276,57.3%,236,49.0%,233,98.73%,2,8,8,0,1,r,,,,,,,Fire_NK,5,4,6.3,6.3,4070,Distance,HIM_species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dipodium aff. roseum (Blotched labellum), Dipodium pardalinum, Dipodium sp. aff. roseum (Blotched Labellum)",,,,Data,No,Mat5-20,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,Rare,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Dipodium punctatum,Hyacinth Orchid,ALA,501068,https://id.biodiversity.org.au/name/apni/79508,Dipodium punctatum s.l.,Hyacinth Orchid,Base,1642,Orchid,Plants,Orchids,2518,0.1,3,1176,46.7%,2059,81.8%,1081,52.50%,6,23,29,1,2,ncs,,,,,,,Fire_NK,5,4,6.3,6.3,17806,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dipodium punctatum s.l., Dipodium punctatum",,,"Hyacinth Orchid, Spotted Orchid",Data,No,Mat5-20,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Dipodium roseum,Hyacinth Orchid,ALA,504501,https://id.biodiversity.org.au/name/apni/117422,Dipodium roseum s.l.,Rosy Hyacinth-orchid,Base,1643,Orchid,Plants,Orchids,3243,0.1,3,1463,45.1%,2429,74.9%,1131,46.56%,6,28,29,0,1,ncs,,,,,,,Fire_NK,5,4,6.3,6.3,22262,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Dipodium roseum, Dipodium roseum s.l.",,,"Rosy Hyacinth-orchid, Spotted Orchid, Rosy Hyacinth Orchid",Data,No,Mat5-20,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Dipodium variegatum,Blotched Hyacinth-orchid,ALA,503688,https://id.biodiversity.org.au/name/apni/79611,Dipodium variegatum,Blotched Hyacinth-orchid,Base,1644,Orchid,Plants,Orchids,1494,0.1,3,70,4.7%,916,61.3%,44,4.80%,4,10,14,0,1,r,,,,,,,Fire_NK,5,4,6.3,6.3,2404,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Slender Hyacinth Orchid, Blotched Hyacinth Orchid, Variegated Hyacinth Orchid, Blotched Hyacinth-orchid",Data,No,Mat5-20,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,Rare,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Discaria nitida,Shining Anchor Plant,ALA,501071,https://id.biodiversity.org.au/node/apni/2905169,Discaria nitida,Shining Anchor Plant,Base,1645,Rhamna,Plants,Rhamnas,258,0.1,3,51,19.8%,169,65.5%,30,17.75%,3,3,5,0,1,e,,,,,,,Fire_NK,5,6.3,0.4,6.3,921,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat5-20,Long50-500,Fire_NK,Seed>2,Poll_Apis,not,Yes,Passive,,present,EN,,Listed,Magnoliopsida,Rosanae,Rosales,Rhamnaceae
Discaria pubescens,Australian Anchor Plant,ALA,501072,https://id.biodiversity.org.au/node/apni/2889216,Discaria pubescens,Australian Anchor Plant,Base,1646,Rhamna,Plants,Rhamnas,1651,0.1,3,331,20.0%,1190,72.1%,206,17.31%,5,15,23,0,1,r,2K to 10K,Minor in Vic,Both,rapid,Very Low,,Fire_NK,5,6.3,0.4,6.3,5954,Distance,Species,No guild,,,Insects,Sexual,> 20 yrs,xlong,,r,No,No,No,None,No,No,,0,,Uncertain,,,,,Possible,High,Uncertain,Multiple,Uncertain,Yes,Low,Secondary,,"Discaria australis, Colletia pubescens, Discaria pubescens",,,"Hairy Anchor Plant, Australian Anchor Plant, Thorn-bush",Data,Yes,Mat5-20,Long50-500,Fire_NK,Seed>2,Poll_Apis,not,Yes,Passive,,present,Rare,,Listed,Magnoliopsida,Rosanae,Rosales,Rhamnaceae
Disphyma crassifolium,Rounded Noon-flower,ALA,501073,https://id.biodiversity.org.au/node/apni/2911823,Disphyma crassifolium subsp. clavellatum,Rounded Noon-flower,Base,1647,OFam1,Plants,Other family,5900,0.1,3,2308,39.1%,4056,68.7%,1449,35.73%,6,37,32,1,2,ncs,,,,,,,Fire_K,3,6.3,2.5,6.3,35904,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Mesembryanthemum australe, Disphyma crassifolium subsp. clavellatum, Disphyma crassifolium ssp. clavellatum, Disphyma clavellatum, Disphyma blackii, Disphyma australe, Mesembryanthemum clavellatum, Mesembryanthemum crassifolium",,,"Round-leaved Pigface, Rounded Noon-flower",Data,No,Mat1-5,Long>500,Fire_K,Seed<2,Poll_Apis,WL > 6,No,Water,,present,,,,Magnoliopsida,Caryophyllanae,Caryophyllales,Aizoaceae
Dissocarpus biflorus,Twin-flower Saltbush,ALA,501074,https://id.biodiversity.org.au/taxon/apni/51300069,Dissocarpus biflorus var. biflorus,Twin-flower Saltbush,Base,1648,Cheno,Plants,Chenopods,1643,0.1,3,148,9.0%,1200,73.0%,112,9.33%,6,23,19,3,4,ncs,,,,,,,Fire_K,3,15.8,6.3,15.8,3567,Distance,Limited,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sclerolaena biflora, Bassia biflora, Dissocarpus biflorus var. biflorus, Dissocarpus biflorus",,,"Twin-flower Saltbush, Two-point Burr",Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_abiotic,WL 1-6,Yes,Mam_ext,,present,Rare,,,Magnoliopsida,Caryophyllanae,Caryophyllales,Chenopodiaceae
Dissocarpus paradoxus,Hard-headed Saltbush,ALA,501075,https://id.biodiversity.org.au/node/apni/2914562,Dissocarpus paradoxus,Hard-head Saltbush,Base,1649,Cheno,Plants,Chenopods,5790,0.1,3,332,5.7%,4666,80.6%,232,4.97%,6,35,22,0,1,ncs,,,,,,,Fire_K,3,15.8,6.3,15.8,10106,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Bassia paradoxa, Dissocarpus paradoxus, Sclerolaena paradoxa",,,"Cannonball Burr, Hard-headed Saltbush, Hard-head Saltbush, Hard-head Bassia",Data,No,Mat<1,Long1-10,Fire_K,Seed>2,Poll_abiotic,not,Yes,Mam_ext,,present,,,,Magnoliopsida,Caryophyllanae,Caryophyllales,Chenopodiaceae
Distichlis distichophylla,Australian Salt-grass,ALA,501076,https://id.biodiversity.org.au/node/apni/2919078,Distichlis distichophylla,Australian Salt-grass,Base,1650,Grass,Plants,Grasses,4205,0.1,3,2416,57.5%,3172,75.4%,1912,60.28%,5,28,24,0,1,ncs,,,,,,,Fire_NK,5,10,6.3,10.0,35613,Distance,Generic,No guild,,,,,,,,,,,,,,No,,1,,,,,,,,,,,,,,,,"Distichlis distichophylla, Uniola distichophylla",,,"Gullibarkityallan (Koorie name), Australian Salt-grass",Data,No,Mat1-5,Long>500,Fire_NK,Seed>2,Poll_abiotic,WL > 6,No,Mam_ext,phylo,present,,,,Magnoliopsida,Lilianae,Poales,Poaceae
Diuris basaltica,Small Golden Moths,Vic,501473,https://id.biodiversity.org.au/node/apni/2905895,Diuris basaltica,Small Golden Moths,Base,1651,Orchid,Plants,Orchids,77,0.1,3,76,98.7%,1,1.3%,1,100.00%,1,1,1,0,1,e,50 to 499,Only in Vic,Recent,rapid,Very Low,,Fire_NK,5,4,6.3,6.3,1065,Distance,Species,No guild,,,Insects,Rare Selfing,> 20 yrs,xlong,,r,No,Yes,Yes,None,No,Yes,Useful,2,Little,Moderate,High,Moderate,,Extensive,Yes,High,High,Habitat loss,Yes,Yes,Low,Low,*,"Diuris basaltica, Diuris sp. aff. chryseopsis (Basalt Plains), Diuris sp. aff. lanceolata (Laverton), Diuris sp. aff. chryseopsis 1, Diuris sp. aff. lanceolata (Basalt Plains)",,,"Plains Diuris, Small Golden Moths, Basalt Golden Moths, Little Golden Moths",Data,Yes,Mat1-5,Long>500,Fire_NK,Seed<2,Poll_invert,not,No,Wind,YES,endemic,EN,EN,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris behrii,Golden Cowslips,ALA,501061,https://id.biodiversity.org.au/node/apni/2919666,Diuris behrii,Golden Cowslips,Base,1652,Orchid,Plants,Orchids,818,0.1,3,347,42.4%,353,43.2%,209,59.21%,5,14,19,2,3,v,"> 10,000",Widespread,Recent,down,Very Low,,Fire_NK,5,4,6.3,6.3,5329,Distance,Species,No guild,,,Insects,Rare Selfing,> 20 yrs,xlong,,r,No,Yes,No,Other,No,Yes,Limited,1,Little,Data def,High,Data def,,Limited,Possible,Uncertain,High,Habitat loss,Yes,Uncertain,Not Expected,Low,,"Diuris pedunculata p.p., Diuris lanceolata, Diuris behrii, Diuris lanceolata p.p., Diuris pedunculata",,,"Orange Moths, Golden Cowslips",Data,Yes,Mat1-5,Long>500,Fire_NK,Seed<2,Poll_invert,not,No,Wind,YES,present,VU,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris calcicola,Leopard Orchid,ALA,501080,https://id.biodiversity.org.au/taxon/apni/51290545,Diuris pardina,Leopard Orchid,Base,1653,Orchid,Plants,Orchids,4271,0.1,3,1904,44.6%,3063,71.7%,1406,45.90%,6,26,30,0,1,ncs,,,,,,,Fire_NK,5,4,6.3,6.3,29023,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Diuris pardina, Diuris maculata",,,"Leopard Orchid, Spotted Doubletail, Leopard Doubletail, Burny Burny (Koorie name)",Data,No,Mat1-5,Long>500,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris chryseopsis,Golden Moths,ALA,505423,https://id.biodiversity.org.au/node/apni/2886701,Diuris chryseopsis,Golden Moths,Base,1654,Orchid,Plants,Orchids,1652,0.1,3,810,49.0%,968,58.6%,442,45.66%,5,19,21,0,1,ncs,"> 10,000",Widespread,Both,down,Very Low,,Fire_NK,5,4,6.3,6.3,12182,Distance,Generic,No guild,,,Insects,Rare Selfing,> 20 yrs,xlong,,r,No,Yes,Yes,None,No,Yes,Useful,2,Little,Moderate,High,Moderate,,Extensive,Possible,Redundant,High,Habitat loss,Yes,Yes,Not Expected,Low,,"Diuris chryseopsis, Diuris pedunculata p.p., Diuris lanceolata p.p.",,,"Golden Moth Orchid, Golden Moths, Common Golden Moths",Data,Yes,Mat1-5,Long>500,Fire_NK,Seed<2,Poll_invert,WL 1-6,No,Wind,YES,present,,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris daltonii,Western Purple Diuris,ALA,507740,https://id.biodiversity.org.au/name/apni/189046,Diuris daltonii,Western Purple Diuris,Base,1655,Orchid,Plants,Orchids,43,0.1,3,42,97.7%,28,65.1%,28,100.00%,1,4,3,0,1,v,,,,,,,Fire_NK,5,4,6.3,6.3,589,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Diuris punctata var. punctata p.p., Diuris daltonii, Diuris punctata var. daltonii",,,"Purple Diuris, Purple Donkey Orchid, Western Purple Donkey Orchid, Western Purple Diuris",Data,No,Mat1-5,Long10-50,Fire_NK,Seed<2,Poll_invert,WL 1-6,No,Wind,,endemic,VU,,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris dendrobioides,Wedge Diuris,ALA,504416,https://id.biodiversity.org.au/name/apni/79051,Diuris dendrobioides,Wedge Diuris,Base,1656,Orchid,Plants,Orchids,451,0.1,3,45,10.0%,240,53.2%,10,4.17%,3,13,13,0,1,e,,,,,,,Fire_NK,5,4,6.3,6.3,1036,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Diuris cuneata, Diuris dendrobioides, Diuris punctata var. longissima",,,"Long-tail Purple Diuris, Late Mauve Doubletail, Wedge Diuris",Data,No,Mat1-5,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,EN,,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris fragrantissima,Sunshine Diuris,ALA,504414,https://id.biodiversity.org.au/node/apni/2921128,Diuris fragrantissima,Sunshine Diuris,Base,1657,Orchid,Plants,Orchids,64,0.1,3,54,84.4%,3,4.7%,3,100.00%,1,1,1,0,1,e,< 50,Only in Vic,None,rapid,Very Low,,Fire_NK,5,4,6.3,6.3,766,Distance,Species,No guild,,,Specific,Sexual,Perennial,mid,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Medium,Multiple,No,Uncertain,Not Expected,Secondary,,"Diuris alba, Diuris fragrantissima, Diuris punctata var. albo-violacea",,,"White Diuris, Sunshine Diuris, Snow in the Paddock, Fragrant Doubletail",Data,Yes,Mat1-5,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,reveg,endemic,EN,EN,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Diuris gregaria,Clumping Golden Moths,ALA,504887,https://id.biodiversity.org.au/node/apni/2902785,Diuris gregaria,Clumping Golden Moths,Base,1658,Orchid,Plants,Orchids,160,0.1,3,160,100.0%,122,76.3%,122,100.00%,1,3,4,0,1,e,500 to 2K,Only in Vic,Recent,down,Very Low,,Fire_NK,5,4,6.3,6.3,2240,Distance,Species,No guild,,,Insects,Sexual,Perennial,mid,,r,No,Yes,Yes,Genomic,No,Yes,Useful,2,Moderate,Low,High,Normal,,Reasonable,Unknown,Uncertain,Medium,Habitat loss,Uncertain,Yes,Low,Medium,*,"Diuris gregaria, Diuris sp. aff. lanceolata (Derrinallum), Diuris sp. aff. chryseopsis (Basalt Plains) p.p., Diuris sp. aff. lanceolata (Mortlake)",,,"Clumping Golden Moths, Small Golden Moths, Basalt Golden Moths, Plains Diuris, Early Golden Moths",Data,Yes,Mat1-5,Long>500,Fire_NK,Seed<2,Poll_invert,not,No,Wind,YES,endemic,EN,,Listed,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
