0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
14 41.76070841 68.75000014 34.46844487 33.48077013 39.00363681 58.52114081 99.6794213 58.1844068 36.52430228 52.42065805 20.72484511 20.37324207 58.08689162 0 49.49096114 48.41028336 49.25984172 39.17538655 10.84731585 7.387884522 8.622954056 36.61403661 61.45236899 67.4041745 41.91227391 57.16988427 57.08390815 47.71937698 46.54922123 60.29701916 60.2520361 55.84676138 50.52307783 54.71891609 57.32114144 52.75840896 49.86454708 50.29563258 103.2470793 47.98975411 54.51254155 60.22080163 37.55152535 46.86998218 43.05843042 49.25828079 41.36592819 30.21455723 56.35023866 63.60067323 69.49841135 68.72739981 64.18237603 60.88677239 56.94718 53.88812926 22.69613322 52.21996864 49.71394613 55.88132015 48.33198008 11.11757242 18.76947404 60.0399327 12.3215327 59.52929797 65.74934203 12.6294887
15 8.172765303 25.3795599 24.70784568 36.61487705 44.06868868 15.14857192 68.23371964 18.2949741 42.30047197 13.47363214 34.43660025 35.47045668 15.00445237 49.49096114 0 6.874073659 6.484205622 40.25418147 53.24910983 50.65981383 48.07980763 41.10647339 23.34746709 24.03426557 17.27468775 14.16653074 13.42828698 2.964385619 54.63927629 21.25398268 16.6143964 12.60231883 9.95872624 12.27610661 15.49335632 14.02181006 7.044842297 10.83411103 65.2134603 9.546105299 9.362326919 16.96978661 29.81523813 12.52217682 47.21715833 18.53025233 28.08184345 34.82152368 12.77520206 20.22398629 26.12694142 25.35648397 20.80842345 17.48182148 14.3416262 14.06348363 37.35280737 12.84643118 12.32887987 18.73173667 10.90815989 49.44323654 45.78541261 16.69914533 52.85895526 16.07848304 27.14110867 48.87225881
16 7.832326323 27.17406122 23.68438874 35.57820398 43.02377076 16.94574735 68.02611333 19.716564 41.25404507 14.39881536 33.35036995 34.38471002 16.43334311 48.41028336 6.874073659 0 7.019039306 39.22453011 52.16723893 49.57812988 46.99740088 40.06508263 24.23222686 25.82806608 16.42395059 15.53406889 15.67028661 2.939045588 53.58937872 22.43267293 18.6670106 14.16269826 8.834237792 12.95736769 15.76816184 14.5832323 5.999847288 8.784743962 66.13315221 10.11927103 11.68519931 18.6114161 28.77516709 11.53985667 46.17689678 17.73711771 27.06588025 33.74043089 14.87788473 22.02659531 27.92280217 27.15161226 22.6075302 19.31944256 15.35884881 15.2615926 36.26864983 9.195191066 9.806670997 19.15355863 11.26803771 48.36165712 44.70600681 18.44404954 51.77678883 17.96312253 28.20445833 47.79318444
17 9.333625908 22.75975287 24.60153863 36.47106671 43.90904158 12.5353609 69.11379696 19.6430344 42.13783401 15.03844626 34.19473295 35.22945577 11.20007066 49.25984172 6.484205622 7.019039306 0 40.12386576 53.01555471 50.4266412 47.84515768 40.95353145 24.6825017 21.41219229 17.55647053 10.22525295 12.3282535 4.827383135 54.46966365 22.5871089 14.69461823 9.120239477 5.996330249 5.114562441 7.724053234 15.69108228 4.953035966 8.13859225 66.50545187 11.12702224 9.039824098 13.85905546 29.6749329 13.33931942 47.06639568 19.10203844 28.00254635 34.59215788 11.18231546 17.63019963 23.5115302 22.73870326 18.20345886 14.99774998 9.517973164 15.77985094 37.11511986 11.50364673 10.47109575 20.09785075 12.32949565 49.21028721 45.55697614 13.90408885 52.62479637 13.72750296 28.45867721 48.64441592
18 32.03711401 59.56357508 23.52538258 3.426304803 22.00575855 49.33454949 89.75063906 48.76286225 20.57938898 42.97824597 26.11830011 26.93072612 48.92344467 39.17538655 40.25418147 39.22453011 40.12386576 0 43.24336941 40.60678846 38.21061901 14.67059038 51.95866238 58.21779544 32.01522991 48.00976645 47.86460503 38.52394008 33.19366412 50.83985658 51.05348925 46.67684069 41.45832808 45.59091245 48.21842327 43.32601322 40.70825058 41.25810841 93.74395342 38.54440631 45.31922594 51.04419473 27.11208598 37.42961685 19.7705905 39.70948447 30.87892899 27.62403876 47.14169187 54.41372153 60.31189706 59.54093359 54.99564988 51.69762375 47.80785346 44.47623847 28.5287253 43.1448174 40.73740892 46.37196464 38.84642595 39.37533792 35.26181855 50.85713931 42.92917377 50.33767542 56.27287202 38.14860099
19 45.53031646 72.50691797 38.28173229 37.60683233 43.16389466 62.27806261 103.4534417 61.94690714 40.71446298 56.18368672 24.24690283 23.87178848 61.8432575 10.84731585 53.24910983 52.16723893 53.01555471 43.24336941 0 7.495822245 6.77136166 40.78041575 65.21656148 71.16109123 45.68705365 60.92616968 60.84161478 51.47654334 50.87246567 64.06035202 64.00924613 59.6032837 54.27707913 58.47443082 61.0760437 56.52123301 53.62076938 54.04900086 107.0114788 51.75287979 58.26964408 63.9774837 41.36557337 50.63320562 47.21547091 53.02426118 45.16195654 33.94689437 60.10768714 67.35760377 73.25533138 72.48431846 67.9393011 64.64375532 60.70296373 57.65044033 26.29647764 55.97428439 53.46589806 59.64592316 52.09604754 14.319365 23.46751584 63.79676336 6.501382103 63.28634077 69.51312384 19.42672945
20 42.93922322 69.91781541 35.68369753 34.96160408 40.51340825 59.68895942 100.8616621 59.35692885 38.05960766 53.59362535 21.6892815 21.31627097 59.25424158 7.387884522 50.65981383 49.57812988 50.4266412 40.60678846 7.495822245 0 4.802066574 38.12923881 62.62631811 68.57198884 43.09514098 58.3371664 58.25238841 48.8874014 48.19859656 61.47024342 61.42009763 57.01424321 51.68843434 55.88554843 58.48725758 53.9312034 51.03177554 51.46045509 104.4212032 49.16280294 55.68051233 61.388418 38.76733897 48.04311118 44.56568429 50.43373249 42.56666095 31.3596241 57.51850128 64.76849922 70.66622866 69.89521591 65.3501974 62.0546424 58.11403923 55.06049141 23.72475212 53.38558935 50.87757424 57.05561506 49.50582312 11.24894414 20.69338003 61.20767442 8.717983862 60.69721867 66.92294529 16.37858463
21 40.36615868 67.33706234 33.13727308 32.5991382 38.17120845 57.10820876 98.29125968 56.77955941 35.73456067 51.01657665 18.97739417 18.59378205 56.67315381 8.622954056 48.07980763 46.99740088 47.84515768 38.21061901 6.77136166 4.802066574 0 35.79010866 60.04997332 65.99123512 40.52522931 55.75602979 55.67211363 46.3067998 45.94875828 58.8933778 58.83952172 54.43325035 49.10591272 53.30394463 55.90528207 51.3540313 48.45060175 48.87755053 101.8449833 46.58581342 53.09987169 58.80752207 36.22155588 45.46618593 42.22114061 47.85848207 40.00972621 28.76847958 54.93806998 62.18775383 68.08547668 67.31446342 62.76944862 59.4739291 55.53259834 52.48300783 21.06498003 50.80326001 48.29381121 54.47951967 46.92940398 9.492407077 18.7503338 58.6268686 5.259551705 58.11654131 64.34635113 15.50447678
22 33.00078187 60.40466939 24.61486737 2.69780179 16.03133286 50.1756815 90.76494311 49.65747644 13.79843488 43.87735368 24.30077832 25.03050442 49.75935638 36.61403661 41.10647339 40.06508263 40.95353145 14.67059038 40.78041575 38.12923881 35.79010866 0 52.86987171 59.05887937 33.00937837 48.84493125 48.71312199 39.36683257 24.70129361 51.74268678 51.89731063 47.51420559 42.27194062 46.41882876 49.04067386 44.22258013 41.54234326 42.06543442 94.65744145 39.44396638 46.16173369 51.88307433 27.96446313 38.32639235 8.241636135 40.62944106 31.93646308 26.5579465 47.98778106 55.25493464 61.1530115 60.38203742 55.83681211 52.53933221 48.63834516 45.36834532 26.58380796 43.96032485 41.53066052 47.28642555 39.75523555 36.89705496 32.68072789 51.69741347 40.49008605 51.17994094 57.18017204 35.46155695
23 17.79854807 42.51671826 36.37937343 48.35452998 55.84974718 32.28217993 74.62737208 18.50832051 54.08912973 19.11659261 46.42573027 47.45722729 32.50391496 61.45236899 23.34746709 24.23222686 24.6825017 51.95866238 65.21656148 62.62631811 60.04997332 52.86987171 0 41.17221412 28.20356831 31.65718117 29.85880191 22.74345184 66.44545345 17.07814144 33.73164053 30.12655332 27.38935069 30.08991454 33.18829817 24.46731435 25.45281787 27.887327 60.05111553 18.85469506 29.08024838 34.26657711 41.56908579 24.26952529 58.97489246 29.46356875 39.71733612 46.78344945 29.4484395 37.35233927 43.26256514 42.49293636 37.94045819 34.5766751 31.92854733 22.40351672 49.33149474 29.69339091 28.6708524 23.59852945 18.44736066 61.40920562 57.74032422 33.91737367 64.82790329 33.15675389 21.71765139 60.82554452
24 26.87502264 0.9867761191 42.68585972 54.57181634 62.01779141 5.465809259 86.53201391 35.49176372 60.24807695 31.75948558 52.34448023 53.37875333 21.06820004 67.4041745 24.03426557 25.82806608 21.41219229 58.21779544 71.16109123 68.57198884 65.99123512 59.05887937 41.17221412 0 35.46254145 19.95780915 20.64590507 23.51809594 72.58337095 38.71641117 23.23039591 19.78899894 26.00251296 24.89802841 29.01766043 32.88366663 25.10237979 27.69394117 82.90469541 28.20985775 28.03418478 17.32187408 47.77591766 31.1482898 65.17064435 36.91233146 46.07592712 52.73608202 15.4972703 10.40600108 3.951151274 3.165217524 7.601519963 14.19054308 23.46412645 32.41656509 55.262792 30.64919849 29.62896713 37.13887149 29.46831328 67.35552568 63.69999797 16.66481115 70.7706313 17.01907807 44.71092732 66.78713022
25 6.073261496 36.80814492 16.08480016 28.45963834 36.01254456 26.57846004 65.9263304 25.20766489 34.26417102 19.26533292 26.92786477 27.95655083 26.25618714 41.91227391 17.27468775 16.42395059 17.55647053 32.01522991 45.68705365 43.09514098 40.52522931 33.00937837 28.20356831 35.46254145 0 25.35572511 24.9840362 15.69810403 46.65024706 27.19524131 28.25045633 23.98386401 19.17820803 23.06058005 25.78910944 19.56678534 18.04848673 19.08790086 70.00233333 14.75076774 22.51717287 28.32642457 21.48913015 13.29608936 39.10636446 14.52341482 18.9656458 27.21336324 24.30182514 31.65627207 37.55612527 36.78534591 32.23906591 28.93173026 25.23528001 20.8568437 29.81577484 20.81394085 18.82090677 22.45102945 14.93279928 41.87697741 38.18784808 28.1154958 45.30102492 27.56214097 32.58492339 41.27117307
26 16.96154863 21.31246524 32.48352594 44.36025467 51.80208571 11.07874542 76.64306939 26.2239462 50.03159243 22.16140316 42.10738518 43.1418868 7.917857325 57.16988427 14.16653074 15.53406889 10.22525295 48.00976645 60.92616968 58.3371664 55.75602979 48.84493125 31.65718117 19.95780915 25.35572511 0 14.69545287 13.32747626 62.36507432 29.33998644 16.24228624 8.877186004 15.05875068 13.02991786 17.3303701 23.11270827 14.61765712 16.9496278 73.42320568 18.47751647 17.82375098 10.83051843 37.56483114 21.12426311 54.95726619 26.86388635 35.87998262 42.50215935 12.30599602 16.26764051 22.07794275 21.29775704 16.80317754 14.01771797 9.369884175 22.85174675 45.0267821 20.13182895 19.01397342 27.41500057 19.71046881 57.12076131 53.46640096 12.25025559 60.53555304 13.38749625 35.2867471 56.55368916
27 16.15472518 21.98265696 32.32577744 44.22306174 51.67424316 11.67382225 75.76074994 23.79896337 49.90550491 20.5900202 42.02773419 43.06171956 15.45189722 57.08390815 13.42828698 15.67028661 12.3282535 47.86460503 60.84161478 58.25238841 55.67211363 48.71312199 29.85880191 20.64590507 24.9840362 14.69545287 0 13.26613705 62.24307765 27.18977876 13.34169353 12.9958917 16.59435101 16.52511936 20.37989493 21.98277324 15.22061101 18.04673278 71.53657976 17.24504543 17.917228 15.2914633 37.42678643 20.58232089 54.82416672 26.36548901 35.70811367 42.41539023 4.429918699 16.73179166 22.71337631 21.95191956 17.35590549 13.62811655 16.57351375 21.2085689 44.94466776 20.73967796 19.81452215 26.14792417 18.53211562 57.03585399 53.37887658 14.16958927 60.45135053 12.08198034 33.25657863 56.46577605
28 6.959114219 24.86393234 22.9846358 34.87902215 42.32623782 14.63504618 67.05002308 17.95551208 40.55679776 12.90185527 32.66054451 33.69477852 14.20560609 47.71937698 2.964385619 2.939045588 4.827383135 38.52394008 51.47654334 48.8874014 46.3067998 39.36683257 22.74345184 23.51809594 15.69810403 13.32747626 13.26613705 0 52.89277151 20.79464801 16.28205636 11.89113625 7.419721158 10.90406944 13.87345888 13.26297626 3.524778094 7.89114461 64.62431021 8.799196737 8.51402889 16.33623057 28.07838374 10.99020556 45.4784225 17.02979775 26.36678478 33.05004225 12.50240646 19.71460614 25.61236558 24.84134132 20.29635327 16.99911288 13.25616499 13.63499678 35.57844958 9.440462516 9.43555353 17.89903373 10.04781462 47.67091186 44.01489018 16.14324847 51.08614537 15.62977192 26.62421899 47.10199501
29 46.61478196 73.92916867 38.4059563 24.15608191 31.23789058 63.70020839 104.4136778 63.22103272 27.32900496 57.44432059 35.46062357 36.06984063 63.28004977 46.54922123 54.63927629 53.58937872 54.46966365 33.19366412 50.87246567 48.19859656 45.94875828 24.70129361 66.44545345 72.58337095 46.65024706 62.36507432 62.24307765 52.89277151 0 65.31218425 65.42381608 61.03596957 55.77627625 59.93365123 62.55131729 57.78782602 55.06180277 55.56522317 108.2346172 53.01137403 59.6873411 65.40594766 41.64699891 51.89259659 31.43603598 54.21333962 45.6627263 38.74587322 61.51594586 68.77952116 74.67752556 73.90654327 69.36136126 66.06428254 62.15504835 58.93022959 37.60450049 57.46627086 55.02026673 60.86453999 53.32934523 46.97098304 42.66241081 65.22131098 50.6198298 64.70530084 70.75289309 45.20432155
30 17.05844856 40.06064727 35.26531538 47.23072822 54.7200511 29.82472095 74.23585655 9.966827296 52.95835273 18.20341096 45.26644036 46.29827157 30.17751989 60.29701916 21.25398268 22.43267293 22.5871089 50.83985658 64.06035202 61.47024342 58.8933778 51.74268678 17.07814144 38.71641117 27.19524131 29.33998644 27.18977876 20.79464801 65.31218425 0 31.23200123 27.78252678 25.44318345 27.93769398 31.0933721 23.26944969 23.49166682 26.02833657 53.86362297 17.71507889 26.97649564 31.86653117 40.4432837 23.13363195 57.84851269 28.44881146 38.60837029 45.62803561 26.84809981 34.8932276 40.80597129 40.0366252 35.48263337 32.10531829 29.69143428 20.73973128 48.17368947 27.90306143 26.92114131 23.77811929 17.89245739 60.2532066 56.58589891 31.48524021 63.6714816 30.67474206 11.57668171 59.67134982
31 19.56888461 24.57256162 35.51880333 47.40914313 54.85703477 14.32368332 79.22829598 27.97224889 53.08768126 24.33547444 45.19363977 46.22780775 16.83681482 60.2520361 16.6143964 18.6670106 14.69461823 51.05348925 64.00924613 61.42009763 58.83952172 51.89731063 33.73164053 23.23039591 28.25045633 16.24228624 13.34169353 16.28205636 65.42381608 31.23200123 0 13.86570356 19.18455489 18.60733735 22.60724648 25.51407061 18.02459972 20.77286881 75.45532867 20.82931804 20.77168101 17.05770261 40.61293361 23.89013158 58.00881188 29.67091704 38.90579337 45.58375228 11.90545546 19.37611436 25.3139125 24.54667406 19.97989011 16.37930234 18.29716908 24.974741 48.11144827 23.60989803 22.64566595 29.76399307 22.10230765 60.20360822 56.5475376 15.84074103 63.61885869 14.12116739 37.2423182 59.63459737
32 15.51505317 21.13903811 31.14827838 43.02864132 50.47201179 10.91154249 75.20364052 24.64478153 48.70180939 20.63782899 40.78530586 41.81972353 8.616071243 55.84676138 12.60231883 14.16269826 9.120239477 46.67684069 59.6032837 57.01424321 54.43325035 47.51420559 30.12655332 19.78899894 23.98386401 8.877186004 12.9958917 11.89113625 61.03596957 27.78252678 13.86570356 0 13.96353099 12.33884728 16.6493768 21.62002751 13.27319211 15.77883088 71.88781468 16.97976737 16.30832313 11.76340418 36.23287208 19.71017093 53.62632851 25.46703638 34.54214413 41.17885777 10.97882429 16.03554564 21.89564226 21.12019709 16.59844576 13.49567873 11.00488224 21.31563048 43.7042965 18.8644702 17.80487994 25.92373478 18.2236503 55.79781642 52.14301642 11.8253667 59.21272588 12.23819118 33.73919294 55.23024816
